"Nom_PC","Utilisateur","OS","Processeur","RAM_GB"
"DESKTOP-TI3VVJ2","La_Plateform","Microsoft Windows 10 Professionnel","System.Object[]","4"
"DESKTOP-TI3VVJ2","La_Plateform","Microsoft Windows 10 Professionnel","11th Gen Intel(R) Core(TM) i7-1195G7 @ 2.90GHz","4"
